pmid,pathway,context,title,relevance_score,screen_decision,abstract
28955033,Notch,neurodegeneration,Plasma membrane-derived extracellular microvesicles mediate non-canonical intercellular NOTCH signaling.,4,include_primary_high,"ARMMs (arrestin domain-containing protein 1 (ARRDC1)-mediated microvesicles) are extracellular vesicles that bud directly at the plasma membrane; however, little is known about the molecular composition and physiological function of these vesicles. Here we report that ARMMs contain active NOTCH receptors and mediate a non-canonical intercellular NOTCH signaling. We identify over 100 proteins that are significantly enriched in ARMMs, including ARRDC1, TSG101 and multiple ESCRT complex proteins. About a third of ARMMs-enriched proteins are plasma membrane proteins, including the NOTCH2 receptor. The incorporation of NOTCH2 into ARMMs is facilitated by the ITCH E3 ligase and the metalloprotease ADAM10, both of which are also secreted into ARMMs. NOTCH2 in ARMMs can be delivered into recipient cells, and upon activation by γ-secretase cleavage, induces NOTCH-specific gene expression. Together, our findings reveal a role for ARMMs in a novel NOTCH signaling pathway that acts in distance and is independent of direct cell-cell contact.ARMMs are extracellular vesicles that bud directly at the plasma membrane; their function is poorly understood. Here the authors purify and carryout a proteomics analysis of the protein components of ARMMs, and show that NOTCH receptors are recruited into ARMMs and can be transferred to recipient cells to mediate NOTCH signaling."
37541258,Notch,neurodegeneration,CRB1 is required for recycling by RAB11A+ vesicles in human retinal organoids.,2,include_contextual,"CRB1 gene mutations can cause early- or late-onset retinitis pigmentosa, Leber congenital amaurosis, or maculopathy. Recapitulating human CRB1 phenotypes in animal models has proven challenging, necessitating the development of alternatives. We generated human induced pluripotent stem cell (iPSC)-derived retinal organoids of patients with retinitis pigmentosa caused by biallelic CRB1 mutations and evaluated them against autologous gene-corrected hiPSCs and hiPSCs from healthy individuals. Patient organoids show decreased levels of CRB1 and NOTCH1 expression at the retinal outer limiting membrane. Proximity ligation assays show that human CRB1 and NOTCH1 can interact via their extracellular domains. CRB1 patient organoids feature increased levels of WDFY1+ vesicles, fewer RAB11A+ recycling endosomes, decreased VPS35 retromer complex components, and more degradative endolysosomal compartments relative to isogenic control organoids. Taken together, our data demonstrate that patient-derived retinal organoids enable modeling of retinal degeneration and highlight the importance of CRB1 in early endosome maturation receptor recycling in the retina."
41255373,Notch,neurodegeneration,Molecular and biochemical pathologies in human alcohol-related cerebellar white matter degeneration.,4,include_primary_high,"Alcohol use disorder (AUD) marked by heavy chronic or binge alcohol consumption, causes cerebellar and white matter (WM) atrophy with cognitive-motor impairments. Major pathological features of alcohol-related brain damage (ARBD) include alterations in WM integrity with myelin loss, and cerebellar degeneration with neuronal loss. This study characterizes molecular and biochemical oligodendrocyte-related pathology in cerebellar tissue from donors with AUD to better understand the mechanisms of ARBD in humans. Cores of cerebellar vermis, including cortex and underlying WM from adult human postmortem AUD and control brains, were processed for RNA and protein analyses using duplex and multiplex panels. AUD cerebellar WM had significant alterations in immature and mature oligodendrocyte protein and mRNA expression, and reduced expression of hepatocyte growth factor, Akt and GSK-3β signaling molecules, and Notch pathway activation. Moreover, the only significant AUD-related alteration in cerebellar cytokine/chemokine expression was reduced IL-16 immunoreactivity. Human AUD WM degeneration is associated with oligodendrocyte dysfunction, which mechanistically could be mediated by impairments in insulin/IGF signaling through Akt/GSK-3β or Notch pathway activation. Future studies should focus on the non-invasive detection and monitoring of AUD-related oligodendrocyte pathology through the analysis of cell-type-specific exosomes isolated from peripheral blood."
41622493,Notch,neurodegeneration,Immune cells in cerebral small vessel disease: Emerging roles and potential targeting therapies.,4,include_primary_high,"Cerebral small vessel disease is an age-related condition that severely affects the quality of life of older adults; however, there are currently no definitive treatments or preventive measures. Cells from both the peripheral and central immune systems significantly impact the development of cerebral small vessel disease. By analyzing the effects of different immune cells on brain dysfunction associated with this disease, we aim to explore the various mechanisms through which autoimmune and acquired immune cells in peripheral circulation and the central nervous system contribute to disease development. Additionally, we seek to identify potential therapeutic modalities targeting these immune cells. In innate immunity, treatment targeting different monocyte loci includes four main modalities: cytokines (CSF1R, MIF, P2X7, CX3CR1, and CCL2), signaling pathways (DAP12/TREM, PI3K/AKT, and Wnt/β-catenin), tissue engineering (mitochondrial transplantation and exosomes), and traditional Chinese medicines. Treatment targeting different dendritic cell loci encompasses two modalities: signaling pathway (cGAS/STING/NF-κB) and tissue engineering (tolerogenic dendritic cells and engineered probiotics). For natural killer cells, treatment targeting different loci includes two modalities: tissue engineering (natural killer cell-based immunotherapies) and traditional Chinese medicines (Tongxinluo capsule). In adaptive immunity, treatment targeting different T cell loci includes four modalities: cytokines (S1PR and RXR), signaling pathway (Nrf2/GPX4 and Notch-ITGB1), tissue engineering (elimination of senescent T cells, monoclonal antibodies targeting amyloid-beta protofibrils, nanovaccines, and nanomedicines), and traditional Chinese medicines (traditional herbal remedies and microneedle therapy). Treatment targeting different B cell loci includes three modalities: monoclonal antibodies (targeting CD49d and CD20), purine glycoside analogs (Cladribine), and plasma exchange. This review explores the relationship between nerve regeneration, immune cells, and cerebral small vessel disease. The disease is characterized by the crucial role played by signaling and interactions between immune cells and components of the neurovascular unit, which is a functional complex composed of neurons, glial cells, and microvessels that regulate inflammatory responses and tissue repair. The central nervous system lacks intrinsic regenerative capacity, and currently, there is no effective method to fully restore its function. The primary focus of current research is on utilizing tissue engineering and regenerative medicine to create environments that facilitate cell proliferation and tissue regeneration. Hydrogels, induced pluripotent stem cells, exosomes, regulatory T cell transplants, and gene modification are key areas of focus in neural regeneration research. In the future, immune rejuvenation and other emerging therapies may offer potential treatment strategies for cerebral small vessel disease. This review analyzes the functions of various immune cells in cerebral small vessel disease, explores the relationship between nerve regeneration and these immune cells, and discusses potential therapeutic avenues that target immune cells for future treatments and neural regeneration related to cerebral small vessel disease."
36367475,NF-kB,neurodegeneration,Mesenchymal stem cell-derived extracellular vesicles attenuate tPA-induced blood-brain barrier disruption in murine ischemic stroke models.,3,include_contextual,"Intracerebral hemorrhage following blood-brain barrier (BBB) disruption resulting from thrombolysis of ischemic stroke with tissue plasminogen activator (tPA) remains a critical clinical problem. Mesenchymal stem cell-derived extracellular vesicles (MSC-EVs) are promising nanotherapeutic agents that have the potential to repair the BBB after ischemic stroke; however, whether they can attenuate BBB disruption and hemorrhagic transformation after tPA thrombolysis is largely unknown. Here, we observed that MSC-EVs efficiently passed through the BBB and selectively accumulated in injured brain regions in ischemic stroke model mice in real time using aggregation-induced emission luminogens (AIEgens), which exhibit better tracking ability than the commercially available tracer DiR. Moreover, tPA administration promoted the homing of MSC-EVs to the ischemic brain and increased the uptake of MSC-EVs by astrocytes. Furthermore, the accumulated MSC-EVs attenuated the tPA-induced disruption of BBB integrity and alleviated hemorrhage by inhibiting astrocyte activation and inflammation. Mechanistically, miR-125b-5p delivered by MSC-EVs played an indispensable role in maintaining BBB integrity by targeting Toll-like receptor 4 (TLR4) and inhibiting nuclear transcription factor-kappaB (NF-κB) signaling in astrocytes. This study provides a noninvasive method for real-time tracking of MSC-EVs in the ischemic brain after tPA treatment and highlights the potential of MSC-EVs as thrombolytic adjuvants for ischemic stroke. STATEMENT OF SIGNIFICANCE: Although tPA thrombolysis is the most effective pharmaceutical strategy for acute ischemic stroke, its clinical application and therapeutic efficacy are challenged by tPA-induced BBB disruption and hemorrhagic transformation. Our study demonstrated that MSC-EVs can act as an attractive thrombolytic adjuvant to repair the BBB and improve thrombolysis in a mouse ischemic stroke model. Notably, by labeling MSC-EVs with AIEgens, we achieved accurate real-time imaging of MSC-EVs in the ischemic brain and therapeutic visualization. MSC-EVs inhibit astrocyte activation and associated inflammation through miR-125b-5p/TLR4/NF-κB pathway. Consequently, we revealed that MSC-EVs combined with tPA thrombolysis may be a promising approach for the treatment of ischemic stroke in clinical setting."
34551296,NF-kB,neurodegeneration,Proteopathic tau primes and activates interleukin-1β via myeloid-cell-specific MyD88- and NLRP3-ASC-inflammasome pathway.,3,include_contextual,"Pathological hyperphosphorylation and aggregation of tau (pTau) and neuroinflammation, driven by interleukin-1β (IL-1β), are the major hallmarks of tauopathies. Here, we show that pTau primes and activates IL-1β. First, RNA-sequence analysis suggests paired-helical filaments (PHFs) from human tauopathy brain primes nuclear factor κB (NF-κB), chemokine, and IL-1β signaling clusters in human primary microglia. Treating microglia with pTau-containing neuronal media, exosomes, or PHFs causes IL-1β activation, which is NLRP3, ASC, and caspase-1 dependent. Suppression of pTau or ASC reduces tau pathology and inflammasome activation in rTg4510 and hTau mice, respectively. Although the deletion of MyD88 prevents both IL-1β expression and activation in the hTau mouse model of tauopathy, ASC deficiency in myeloid cells reduces pTau-induced IL-1β activation and improves cognitive function in hTau mice. Finally, pTau burden co-exists with elevated IL-1β and ASC in autopsy brains of human tauopathies. Together, our results suggest pTau activates IL-1β via MyD88- and NLRP3-ASC-dependent pathways in myeloid cells, including microglia."
36779477,Complement,neurodegeneration,Longitudinal characterization of circulating extracellular vesicles and small RNA during simian immunodeficiency virus infection and antiretroviral therapy.,4,include_primary_high,"Latent infection by HIV hinders viral eradication despite effective antiretroviral treatment (ART). Among proposed contributors to viral latency are cellular small RNAs that have also been proposed to shuttle between cells in extracellular vesicles. Thus, we profiled extracellular vesicle small RNAs during different infection phases to understand the potential relationship between these extracellular vesicle associated small RNAs and viral infection. A well characterized simian immunodeficiency virus (SIV)/macaque model of HIV was used to profile extracellular vesicle enriched blood plasma fractions harvested during preinfection, acute infection, latent infection/ART treatment, and rebound after ART interruption. Measurement of extracellular vesicle concentration, size distribution, and morphology was complemented with qPCR array for small RNA expression, followed by individual qPCR validations. Iodixanol density gradients were used to separate extracellular vesicle subtypes and virions. Plasma extracellular vesicle particle counts correlated with viral load and peaked during acute infection. However, SIV gag RNA detection showed that virions did not fully explain this peak. Extracellular vesicle microRNAs miR-181a, miR-342-3p, and miR-29a decreased with SIV infection and remained downregulated in latency. Interestingly, small nuclear RNA U6 had a tight association with viral load peak. This study is the first to monitor how extracellular vesicle concentration and extracellular vesicle small RNA expression change dynamically in acute viral infection, latency, and rebound in a carefully controlled animal model. These changes may also reveal regulatory roles in retroviral infection and latency."
31916313,Complement,neurodegeneration,Traumatic brain injury increases plasma astrocyte-derived exosome levels of neurotoxic complement proteins.,4,include_primary_high,"Possible involvement of complement (C) systems in the pathogenesis of traumatic brain injury (TBI) was investigated by quantifying Cproteins in plasma astrocyte-derived exosomes (ADEs) of subjects with sports-related TBI (sTBI) and TBI in military veterans (mtTBI) without cognitive impairment. All sTBI subjects (n = 24) had mild injuries, whereas eight of the mtTBI subjects had moderate, and 17 had mild injuries. Plasma levels of ADEs were decreased after acute sTBI and returned to normal within months. Cprotein levels in ADEs were from 12- to 35-fold higher than the corresponding levels in neuron-derived exosomes. CD81 exosome marker-normalized ADE levels of classical pathway C4b, alternative pathway factor D and Bb, lectin pathway mannose-binding lectin (MBL), and shared neurotoxic effectors C3b and C5b-9 terminal C complex were significantly higher and those of C regulatory proteins CR1 and CD59 were lower in the first week of acute sTBI (n = 12) than in controls (n = 12). Most C abnormalities were no longer detected in chronic sTBI at 3-12 months after acute sTBI, except for elevated levels of factor D, Bb, and MBL. In contrast, significant elevations of ADE levels of C4b, factor D, Bb, MBL, C3b and C5b-9 terminal C complex, and depressions of CR1 and CD59 relative to those of controls were observed after 1-4 years in early chronic mtTBI (n = 10) and persisted for decades except for normalization of Bb, MBL, and CD59 in late chronic mtTBI (n = 15). Complement inhibitors may be useful therapeutically in acute TBI and post-concussion syndrome."
34863822,Sphingolipid/Ceramide,neurodegeneration,Extracellular vesicles in pharmacology: Novel approaches in diagnostics and therapy.,3,include_contextual,"Exosomes are nano-sized lipid vesicles that are produced by all eukaryotic cells, and they typically range in size from 30 to 150 nm. Exosomes were discovered almost 40 years ago; however, the last two decades have attracted considerable attention due to exosomes' inherent abilities to shuttle nucleic acids, lipids and proteins between cells, along with their natural affinity to exosome target cells. From a pharmaceutical perspective, exosomes are regarded as naturally produced nanoparticle drug delivery vehicles. The application of exosomes as a means of drug delivery offers critical advantages compared to other nanoparticulate drug delivery systems, such as liposomes and polymeric nanoparticles. These advantages are due to the exosomes' intrinsic features, such as low immunogenicity, biocompatibility, stability, and their ability to overcome biological barriers. Herein, we outline the structure and origin of exosomes, as well as their biological functions. We also touch upon recent advances in exosome labeling, imaging and drug loading. Finally, we discuss exosomes in targeted drug delivery and clinical trial development."
35628142,Sphingolipid/Ceramide,neurodegeneration,Sphingolipid Players in Multiple Sclerosis: Their Influence on the Initiation and Course of the Disease.,4,include_contextual,"Sphingolipids (SLs) play a significant role in the nervous system, as major components of the myelin sheath, contributors to lipid raft formation that organize intracellular processes, as well as active mediators of transport, signaling and the survival of neurons and glial cells. Alterations in SL metabolism and content are observed in the course of central nervous system diseases, including multiple sclerosis (MS). In this review, we summarize the current evidence from studies on SLs (particularly gangliosides), which may shed new light upon processes underlying the MS background. The relevant aspects of these studies include alterations of the SL profile in MS, the role of antibodies against SLs and complexes of SL-ligand-invariant NKT cells in the autoimmune response as the core pathomechanism in MS. The contribution of lipid-raft-associated SLs and SL-laden extracellular vesicles to the disease etiology is also discussed. These findings may have diagnostic implications, with SLs and anti-SL antibodies as potential markers of MS activity and progression. Intriguing prospects of novel therapeutic options in MS are associated with SL potential for myelin repair and neuroprotective effects, which have not been yet addressed by the available treatment strategies. Overall, all these concepts are promising and encourage the further development of SL-based studies in the field of MS."
33798648,Sphingolipid/Ceramide,neurodegeneration,Nipping disease in the bud: nSMase2 inhibitors as therapeutics in extracellular vesicle-mediated diseases.,4,include_contextual,"Extracellular vesicles (EVs) are indispensable mediators of intercellular communication, but they can also assume a nefarious role by ferrying pathological cargo that contributes to neurological, oncological, inflammatory, and infectious diseases. The canonical pathway for generating EVs involves the endosomal sorting complexes required for transport (ESCRT) machinery, but an alternative pathway is induced by the enrichment of lipid membrane ceramides generated by neutral sphingomyelinase 2 (nSMase2). Inhibition of nSMase2 has become an attractive therapeutic strategy for inhibiting EV biogenesis, and a growing number of small-molecule nSMase2 inhibitors have shown promising therapeutic activity in preclinical disease models. This review outlines the function of EVs, their potential role in disease, the discovery and efficacy of nSMase2 inhibitors, and the path to translate these findings into therapeutics."
39689917,Sphingolipid/Ceramide,neurodegeneration,Elucidation of physiological functions of sphingolipid-related molecules by chemical approaches.,2,include_contextual,"Sphingolipids (SLs), found in all animals, plants, and fungi and in certain prokaryotic organisms, exhibit essential physiological functions that cannot be replicated by other lipids. Although SLs and their related biomolecules behave as lipid mediators, skin barrier systems, and epitopes, their detailed biological functions have not yet been revealed, unlike those of proteins and nucleic acids, because the biosynthesis of SLs is not governed by the central dogma. Recently, SLs have been widely studied in relation to diseases such as obesity, dementia, and neuron agenesis and have attracted attention as molecules related to unmet medical needs. This review presents the recent applications of the SL chemical biology in unmet medical needs."
