pathway,context,rank,total_hits_for_cell,pmid,title,pubdate,journal,doi,publication_types,is_primary,relevance_score,ev_hit,context_hit,pathway_hit,mechanistic_hit,screen_decision,abstract
mTOR,neurodegeneration,11,87,39325934,The Role and Mechanism of Vascular Aging in Geriatric Vascular Diseases.,2024 Aug 1,Aging and disease,10.14336/AD.2024.0717,Journal Article; Review,False,3,False,True,True,True,include_contextual,"Vascular aging is the pathological basis for the aging of various organ systems in the human body and is a common pathogenesis leading to the development of atherosclerosis, Alzheimer's disease, and other conditions among older adults. Aging is characterized by accelerated pulse wave velocity, thickening of the carotid artery intima-media, and decreased vascular dilation function. Signaling pathways such as mTOR, AMPK, NF-κB, Klotho, SIRT, and other key proteins are likely involved in these processes. The detection of biomarkers related to vascular aging, including senescence-associated β-galactosidase, endothelial progenitor cells, circulating endothelial microparticles, and exosomal miRNAs, aids in assessing vascular status and prognosis. Repairing endothelial injury, reducing oxidative stress-inflammatory responses, and restoring mitochondrial and telomere functions are reliable measures to counter vascular aging. In summary, research on vascular aging is the driving force that will provide rational strategies to intervene in geriatric vascular diseases and achieve the long-term goal of healthy aging."
mTOR,neurodegeneration,12,87,38850660,"Exploring the molecular mechanisms of MSC-derived exosomes in Alzheimer's disease: Autophagy, insulin and the PI3K/Akt/mTOR signaling pathway.",2024 Jul,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,10.1016/j.biopha.2024.116836,Journal Article,True,4,True,True,True,True,include_primary_high,"Alzheimer's disease (AD) is a devastating neurological condition characterized by cognitive decline, motor coordination impairment, and amyloid plaque accumulation. The underlying molecular mechanisms involve oxidative stress, inflammation, and neuronal degeneration. This study aimed to investigate the therapeutic effects of mesenchymal stem cell-derived exosomes (MSC-exos) on AD and explore the molecular pathways involved, including the PI3K/Akt/mTOR axis, autophagy, and neuroinflammation. To assess the potential of MSC-exos for the treatment of AD, rats were treated with AlCl"
mTOR,neurodegeneration,13,87,40281600,Extracellular vesicles as therapeutic modulators of neuroinflammation in Alzheimer's disease: a focus on signaling mechanisms.,2025 Apr 25,Journal of neuroinflammation,10.1186/s12974-025-03443-1,Journal Article; Review,False,4,True,True,True,True,include_contextual,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by the accumulation of amyloid-beta (Aβ) plaques and tau tangles, which contribute significantly to neuroinflammation, a central driver of disease pathogenesis. The activation of microglia and astrocytes, coupled with the complex interactions between Aβ and tau pathologies and the innate immune response, leads to a cascade of inflammatory events. This process triggers the release of pro-inflammatory cytokines and chemokines, exacerbating neuronal damage and fostering a cycle of chronic inflammation that accelerates neurodegeneration. Key signaling pathways, such as nuclear factor-kappa B (NF-κB), Janus kinase/signal transducer and activator of transcription (JAK/STAT), mitogen-activated protein kinase (MAPK), and phosphoinositide 3-kinase/protein kinase B (PI3K/Akt), are involved in regulating the production of these inflammatory mediators, offering potential therapeutic targets for AD. Recently, extracellular vesicles (EVs) have emerged as a promising tool for AD therapy, due to their ability to cross the blood-brain barrier (BBB) and deliver therapeutic agents. Despite challenges in standardizing EV-based therapies and ensuring their safety, EVs offer a novel approach to modulating neuroinflammation and promoting neuroregeneration. This review aims to highlight the intricate relationship between neuroinflammation, signaling pathways, and the emerging role of EV-based therapeutics in advancing AD treatment strategies."
mTOR,neurodegeneration,14,87,37290686,MicroRNA-23a-3p Is Upregulated in Plasma Exosomes of Bulbar-onset ALS Patients and Targets ERBB4.,2023 Aug 1,Neuroscience,10.1016/j.neuroscience.2023.05.030,"Journal Article; Research Support, Non-U.S. Gov't",True,4,True,True,True,True,include_primary_high,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease related to the progressive death of motor neurons. Understanding the pathogenesis of ALS continues to provide considerable challenges. Bulbar-onset ALS involves faster functional loss and shorter survival time than spinal cord-onset ALS. However, debate is ongoing regarding typical plasma miRNA changes in ALS patients with bulbar onset. Exosomal miRNAs have not yet been described as a tool for bulbar-onset ALS diagnosis or prognosis prediction. In this study, candidate exosomal miRNAs were identified by small RNA sequencing using samples from patients with bulbar-onset ALS and healthy controls. Potential pathogenic mechanisms were identified through enrichment analysis of target genes for differential miRNAs. Expression of miR-16-5p, miR-23a-3p, miR-22-3p, and miR-93-5p was significantly up-regulated in plasma exosomes from bulbar-onset ALS patients compared with healthy control subjects. Among them, miR-16-5p and miR-23a-3p were significantly lower in spinal-onset ALS patients than those with bulbar-onset. Furthermore, up-regulation of miR-23a-3p in motor neuron-like NSC-34 cells promoted apoptosis and inhibited cell viability. This miRNA was found to directly target ERBB4 and regulate the AKT/GSK3β pathway. Collectively, the above miRNAs and their targets are related to the development of bulbar-onset ALS. Our research indicates that miR-23a-3p might have an effect on motor neuron loss observed in bulbar-onset ALS and may be a novel target for the therapy of ALS in the future."
mTOR,neurodegeneration,15,87,41540476,hUC-MSC-derived exosomes ameliorate Alzheimer's disease pathology through lncRNA-9969-mediated multi-target protection involving neuronal autophagy and microglial modulation.,2026 Jan 16,Alzheimer's research & therapy,10.1186/s13195-026-01954-4,Journal Article,True,4,True,True,True,True,include_primary_high,"Alzheimer's disease is characterized by intertwined pathologies including neuroinflammation, driven by microglial dysfunction, and metabolic disturbances such as lipid dyshomeostasis. Mesenchymal stem cell-derived exosomes (MSC-Exos) hold therapeutic promise, Still, it is unknown whether they can simultaneously address these co-occurring impairments via specific molecular cargos, such as long non-coding RNAs (lncRNAs). Transcriptome sequencing of exosomes derived from human umbilical cord mesenchymal stem cells (hUC-MSCs) revealed high expression of the long noncoding RNA ENST00000629969 (hereinafter referred to as lncRNA-9969). We isolated exosomes from hUC-MSCs (WT-Exo) and established human umbilical cord blood mesenchymal stem cells stably knocked down for lncRNA-9969 via siRNA, from which corresponding exosomes (KD-Exo) were isolated. Cross-species analysis identified the mouse homolog of lncRNA-9969 as ENSMUST00000200021 (hereinafter referred to as lncRNA-0021). Cellular experiments employed an Aβ₂₅₋₃₅-induced SH-SY5Y cell model to evaluate the protective effects of exosomes. In animal experiments, 6-month-old APP/PS1 mice received biweekly tail vein injections of WT-Exo or KD-Exo for 4 weeks. Phenotypic and mechanistic analyses were subsequently conducted using the Morris water maze, Western blot, immunofluorescence, qPCR, and transmission electron microscopy. In Aβ-injured SH-SY5Y cells, WT-Exo significantly attenuated cellular damage and promoted Aβ clearance, whereas the protective effect of KD-Exo was markedly reduced. In APP/PS1 mice, WT-Exo treatment significantly improved spatial memory deficits and upregulated hippocampal expression of synaptic proteins synaptophysin (Syn) and brain-derived neurotrophic factor (BDNF). Molecular mechanism studies demonstrated that lncRNA-0021 directly binds mmu-miR-6361. Through this ceRNA mechanism, exosome-delivered lncRNA activated the mTOR/p70S6K autophagy pathway, regulated lipid metabolism-related genes, promoted microglial polarization toward the protective M2 phenotype, and suppressed pyroptosis. These beneficial changes were not observed in the KD-Exo-treated group. hUC-MSC-derived exosomes exert neuroprotective effects by delivering functional lncRNA-9969. Its highly conserved homolog in mice, lncRNA-0021, achieves coordinated multi-target regulation of neuroinflammation, pyroptosis, and metabolic disturbances by sequestering miR-6361 and activating downstream signaling pathways. This study elucidates the central role of exosomal lncRNAs in AD pathology and provides new insights for developing RNA-based multi-target therapeutic strategies."
mTOR,neurodegeneration,16,87,31225476,Endolysosomal dysfunction and exosome secretion: implications for neurodegenerative disorders.,2018 May 4,Cell stress,10.15698/cst2018.05.136,Comment; Journal Article,False,4,True,True,True,True,include_contextual,"Growing evidence suggests that endolysosomal and autophagic defects are key pathogenic processes in various neurodegenerative disorders, including Alzheimer's disease (AD), Parkinson's disease (PD), frontotemporal dementia (FTD) and amyotrophic lateral sclerosis (ALS). The causal relationship between these defects and neurodegeneration is supported by human genetic studies identifying disease mutations in genes controlling endolysosomal function and autophagy. The canonical view is that defects in these processes lead to impaired lysosomal clearance of proteins prone to form toxic oligomeric assemblies and/or aggregates, ultimately resulting in cellular pathologies that define these disorders. Because lysosomes mediate the clearance of a large number of lipids, lipid storage is frequently associated with compromised endolysosomal and autophagic function. However, an emerging notion, supported by our recent study on class III phosphatidylinositol 3-kinase (PI3K) Vps34, is that neuronal endolysosomal and autophagic dysfunction can manifest itself with the occurrence of physically damaged endomembranes and with the release of exosomes enriched for Amyloid Precursor Protein COOH-terminal fragments (APP-CTFs) as well as atypical phospholipid bis(monoacylglycero)phosphate (BMP). Here, we summarize our recent findings and their potential implications in the context of lysosomal biology, lipid signaling and neurodegenerative diseases."
mTOR,neurodegeneration,17,87,39118084,mTOR activation induces endolysosomal remodeling and nonclassical secretion of IL-32 via exosomes in inflammatory reactive astrocytes.,2024 Aug 8,Journal of neuroinflammation,10.1186/s12974-024-03165-w,Journal Article,True,3,True,False,True,True,exclude_low_relevance,"Astrocytes respond and contribute to neuroinflammation by adopting inflammatory reactive states. Although recent efforts have characterized the gene expression signatures associated with these reactive states, the cell biology underlying inflammatory reactive astrocyte phenotypes remains under-explored. Here, we used CRISPR-based screening in human iPSC-derived astrocytes to identify mTOR activation a driver of cytokine-induced endolysosomal system remodeling, manifesting as alkalinization of endolysosomal compartments, decreased autophagic flux, and increased exocytosis of certain endolysosomal cargos. Through endolysosomal proteomics, we identified and focused on one such cargo-IL-32, a disease-associated pro-inflammatory cytokine not present in rodents, whose secretion mechanism is not well understood. We found that IL-32 was partially secreted in extracellular vesicles likely to be exosomes. Furthermore, we found that IL-32 was involved in the polarization of inflammatory reactive astrocyte states and was upregulated in astrocytes in multiple sclerosis lesions. We believe that our results advance our understanding of cell biological pathways underlying inflammatory reactive astrocyte phenotypes and identify potential therapeutic targets."
mTOR,neurodegeneration,18,87,41048124,"Tiny Messengers, Huge Consequences: Extracellular Vesicles and mTOR Signaling in Neuroinflammation.",2025 Oct,Journal of neurochemistry,10.1111/jnc.70256,Journal Article; Review,False,4,True,True,True,True,include_contextual,"Neuroinflammation plays a fundamental role in the pathogenesis of neurodegenerative disorders. Among the central regulators of this process are the mechanistic target of rapamycin (mTOR) signaling pathway and extracellular vesicles (EVs). This review discusses the bidirectional interaction between mTOR and EVs, describing their interconnection in the regulation of cellular communication and inflammatory responses in the central nervous system (CNS). On one hand, mTOR controls EV biogenesis and cargo composition, and, on the other hand, EVs also modulate mTOR activity in target cells with effects in neuronal survival, glial activation, and immune signaling. This bidirectional communication creates a feedback loop that, depending on cell context and molecular cues, may either promote neuroprotection or exacerbate neurotoxicity and inflammation."
mTOR,neurodegeneration,19,87,39538308,Exosomes derived from IFNγ-stimulated mesenchymal stem cells protect photoreceptors in RCS rats by restoring immune homeostasis through tsRNAs.,2024 Nov 13,Cell communication and signaling : CCS,10.1186/s12964-024-01920-3,Journal Article,True,4,True,True,True,True,include_primary_high,"Retinitis pigmentosa is a neurodegenerative disease with major pathologies of photoreceptor apoptosis and immune imbalance. Mesenchymal stem cells (MSCs) have been approved for clinical application for treating various immune-related or neurodegenerative diseases. The objective of this research was to investigate the mechanisms underlying the safeguarding effects of MSC-derived exosomes in a retinal degenerative disease model. Interferon gamma-stimulated exosomes (IFNγ-Exos) secreted from MSCs were isolated, purified, and injected into the vitreous body of RCS rats on postnatal day (P) 21. Morphological and functional changes in the retina were examined at P28, P35, P42, and P49 in Royal College of Surgeons (RCS) rats. The mechanism was explored using high-throughput sequencing technology and confirmed in vitro. Treatment with IFNγ-Exo produced better protective effects on photoreceptors and improved visual function in RCS rats. IFNγ-Exo significantly suppressed the activated microglia and inhibited the inflammatory responses in the retina of RCS rats, which was also confirmed in the lipopolysaccharide-activated microglia cell line BV2. Furthermore, through tRNA-derived small RNA (tsRNA) sequencing, we found that IFNγ-Exos from MSCs contained higher levels of Other-1_17-tRNA-Phe-GAA-1-M3, Other-6_23-tRNA-Lys-TTT-3, and TRF-57:75-GLN-CGG-2-m2 than native exosomes, which mainly regulated inflammatory and immune-related pathways, including the mTOR signaling pathway and EGFR tyrosine kinase inhibitor resistance. IFNγ stimulation enhanced the neuroprotective effects of MSC-derived exosomes on photoreceptors of the degenerative retina, which may be mediated by immune regulatory tsRNAs acting on microglia. In conclusion, IFNγ-Exo is a promising nanotherapeutic agent for the treatment of retinitis pigmentosa."
mTOR,neurodegeneration,20,87,37891608,PACAP-Sirtuin3 alleviates cognitive impairment through autophagy in Alzheimer's disease.,2023 Oct 27,Alzheimer's research & therapy,10.1186/s13195-023-01334-2,"Journal Article; Research Support, Non-U.S. Gov't",True,4,True,True,True,True,include_primary_high,"Autophagy is vital in the pathogenesis of neurodegeneration. Thus far, no studies have specifically investigated the relationship between pituitary adenylate cyclase-activating polypeptide (PACAP) and autophagy, particularly in the context of Alzheimer's disease (AD). This study used in vitro and in vivo models, along with clinical samples, to explore interactions between PACAP and autophagy in AD. AD model mice were administered 6 μl of 0.1 mg/ml PACAP liquid intranasally for 4 weeks, then subjected to behavioral analyses to assess the benefits of PACAP treatment. The underlying mechanisms of PACAP-induced effects were investigated by methods including real-time quantitative polymerase chain reaction, RNA sequencing, immunofluorescence, and western blotting. Exosomes were extracted from human serum and subjected to enzyme-linked immunosorbent assays to examine autophagy pathways. The clinical and therapeutic implications of PACAP and autophagy were extensively investigated throughout the experiment. Impaired autophagy was a critical step in amyloid β (Aβ) and Tau deposition; PACAP enhanced autophagy and attenuated cognitive impairment. RNA sequencing revealed three pathways that may be involved in AD progression: PI3K-AKT, mTOR, and AMPK. In vivo and in vitro studies showed that sirtuin3 knockdown diminished the ability of PACAP to restore normal autophagy function, resulting in phagocytosis dysregulation and the accumulation of pTau, Tau, and Aβ. Additionally, the autophagic biomarker MAP1LC3 demonstrated a positive association with PACAP in human serum. PACAP reverses AD-induced cognitive impairment through autophagy, using sirtuin3 as a key mediator. MAP1LC3 has a positive relationship with PACAP in humans. These findings provide insights regarding potential uses of intranasal PACAP and sirtuin3 agonists in AD treatment. NCT04320368."
mTOR,neurodegeneration,21,87,34536520,BMSCs-exosomes containing GDF-15 alleviated SH-SY5Y cell injury model of Alzheimer's disease via AKT/GSK-3β/β-catenin.,2021 Dec,Brain research bulletin,10.1016/j.brainresbull.2021.09.008,"Journal Article; Research Support, Non-U.S. Gov't",True,4,True,True,True,True,include_primary_high,"Mesenchymal stem cells (MSCs) therapy has great potential for Alzheimer's disease (AD) treatment. Here, we investigated the roles of BMSCs-exosomes containing growth differentiation factor-15 (GDF-15) in regulating SH-SY5Y cell injury in AD. The SH-SY5Y cell injury model was constructed by treating SH-SY5Y cells with 10 μM Aβ Our results displayed that BMSCs-EVs treatment elevated cell viability, while suppressed cell apoptosis and inflammation in Aβ BMSCs-exosomes containing GDF-15 alleviated SH-SY5Y cell damage via AKT/GSK-3β/β-catenin. Our work confers a promising therapeutic strategy for AD."
